1800896;21093;0;-1;-1;-1;14;14;1
1800960;21093;0;-1;-1;-1;19;19;1
801116;21093;0;-1;-1;-1;18;18;1
1800694;21093;0;-1;-1;-1;12;12;1
1700564;21093;0;-1;-1;-1;15;15;1
1800751;21093;0;-1;-1;-1;16;16;1
1900799;21093;0;-1;-1;-1;18;18;1
1800102;21093;0;-1;-1;-1;20;20;1
1800267;21093;0;-1;-1;-1;19;19;1
905525;21093;0;-1;-1;-1;13;13;1
1701152;21093;0;-1;-1;-1;19;19;1
1800798;21093;0;-1;-1;-1;15;15;1
701765;21093;0;-1;-1;-1;13;13;1
1800019;21093;0;-1;-1;-1;18;18;1
1600269;21093;0;-1;-1;-1;17;17;1
1701874;21093;0;-1;-1;-1;16;16;1
1800566;21093;0;-1;-1;-1;16;16;1
7654321;21002;1;4;4;12;-1;20;1
7654321;21175;0;-1;-1;-1;19;19;1
1701898;21002;0;-1;-1;-1;14;14;1
1701898;21175;0;-1;-1;-1;12;12;1
1701898;21010;0;-1;-1;-1;15;15;1
1701898;21176;1;4;3.9;9.8;-1;18;1
1701898;21173;1;3.5;2.7;10;-1;16;1
1701898;21174;1;3.1;4;9;-1;16;1
1701898;21037;0;-1;-1;-1;15;15;1
1701898;21178;1;3.5;3.7;5.5;-1;13;1
1701898;21082;1;3.6;3;7.3;-1;14;1
1701898;21177;1;3.2;4;9.5;-1;17;1
1701898;21111;1;3;4.5;10.3;-1;18;1
1701898;21048;0;-1;-1;-1;12;12;1
1701898;21053;0;-1;-1;-1;18;18;1
